Latitude,Longitude,Rainfall,MaxTemp,MinTemp
8.25,77.0,0.0,31.04545,21.891684
8.25,77.25,0.0,31.800163,22.810019
8.25,77.5,1.9280646,31.800163,22.810019
8.25,77.75,5.112836,31.800163,22.810019
8.5,76.75,0.0,31.04545,21.891684
8.5,77.0,0.0,31.04545,21.891684
8.5,77.25,5.433482,31.800163,22.810019
8.5,77.5,10.897713,31.800163,22.810019
8.5,77.75,5.8634105,31.800163,22.810019
8.5,78.0,11.767226,31.800163,22.810019
8.75,76.5,0.0,31.04545,21.891684
8.75,76.75,0.0,31.04545,21.891684
8.75,77.0,1.6709516,31.04545,21.891684
8.75,77.25,8.098194,31.800163,22.810019
8.75,77.5,6.990547,31.800163,22.810019
8.75,77.75,17.602903,31.800163,22.810019
8.75,78.0,2.5986235,31.800163,22.810019
9.0,76.5,0.0,31.04545,21.891684
9.0,76.75,0.0,31.04545,21.891684
9.0,77.0,0.10278043,31.04545,21.891684
9.0,77.25,0.41472638,31.800163,22.810019
9.0,77.5,0.0,31.800163,22.810019
9.0,77.75,3.1574023,31.800163,22.810019
9.0,78.0,3.2204018,31.800163,22.810019
9.25,76.25,0.0,31.407803,21.584818
9.25,76.5,0.0,31.407803,21.584818
9.25,76.75,0.0,31.407803,21.584818
9.25,77.0,0.33731174,31.407803,21.584818
9.25,77.25,0.0,30.495504,21.21361
9.25,77.5,0.0,30.495504,21.21361
9.25,77.75,1.6727471,30.495504,21.21361
9.25,78.0,0.0,30.495504,21.21361
9.25,78.25,2.046494,29.18469,21.425499
9.25,78.5,4.8432603,29.18469,21.425499
9.25,78.75,2.6103523,29.18469,21.425499
9.25,79.25,11.855211,29.414871,22.425537
9.5,76.25,0.0,31.407803,21.584818
9.5,76.5,0.0,31.407803,21.584818
9.5,76.75,0.0,31.407803,21.584818
9.5,77.0,0.0,31.407803,21.584818
9.5,77.25,0.0,30.495504,21.21361
9.5,77.5,0.0,30.495504,21.21361
9.5,77.75,0.0,30.495504,21.21361
9.5,78.0,0.0,30.495504,21.21361
9.5,78.25,2.7774286,29.18469,21.425499
9.5,78.5,0.0,29.18469,21.425499
9.5,78.75,0.0,29.18469,21.425499
9.5,79.0,9.435504,29.18469,21.425499
9.5,79.25,9.6374035,29.414871,22.425537
9.75,76.25,0.0,31.407803,21.584818
9.75,76.5,0.0,31.407803,21.584818
9.75,76.75,0.0,31.407803,21.584818
9.75,77.0,0.0,31.407803,21.584818
9.75,77.25,0.0,30.495504,21.21361
9.75,77.5,0.0,30.495504,21.21361
9.75,77.75,0.0,30.495504,21.21361
9.75,78.0,0.0,30.495504,21.21361
9.75,78.25,0.0,29.18469,21.425499
9.75,78.5,0.0,29.18469,21.425499
9.75,78.75,0.0,29.18469,21.425499
10.0,76.25,0.0,31.407803,21.584818
10.0,76.5,0.0,31.407803,21.584818
10.0,76.75,0.0,31.407803,21.584818
10.0,77.0,0.0,31.407803,21.584818
10.0,77.25,0.0,30.495504,21.21361
10.0,77.5,0.0,30.495504,21.21361
10.0,77.75,0.0,30.495504,21.21361
10.0,78.0,0.0,30.495504,21.21361
10.0,78.25,0.0,29.18469,21.425499
10.0,78.5,0.0,29.18469,21.425499
10.0,78.75,0.0,29.18469,21.425499
10.0,79.0,0.0,29.18469,21.425499
10.25,76.0,0.0,30.237106,19.0633
10.25,76.25,0.0,29.239824,18.290049
10.25,76.5,0.0,29.239824,18.290049
10.25,76.75,0.0,29.239824,18.290049
10.25,77.0,0.0,29.239824,18.290049
10.25,77.25,0.16507627,27.692867,17.236557
10.25,77.5,0.0,27.692867,17.236557
10.25,77.75,0.0,27.692867,17.236557
10.25,78.0,0.0,27.692867,17.236557
10.25,78.25,0.0,28.950888,20.11654
10.25,78.5,0.0,28.950888,20.11654
10.25,78.75,0.0,28.950888,20.11654
10.25,79.0,0.0,28.950888,20.11654
10.25,79.25,0.0,29.553915,22.339361
10.5,76.0,0.0,30.237106,19.0633
10.5,76.25,0.0,29.239824,18.290049
10.5,76.5,0.0,29.239824,18.290049
10.5,76.75,0.0,29.239824,18.290049
10.5,77.0,0.0,29.239824,18.290049
10.5,77.25,0.0,27.692867,17.236557
10.5,77.5,0.0,27.692867,17.236557
10.5,77.75,0.0,27.692867,17.236557
10.5,78.0,0.0,27.692867,17.236557
10.5,78.25,0.0,28.950888,20.11654
10.5,78.5,0.0,28.950888,20.11654
10.5,78.75,0.0,28.950888,20.11654
10.5,79.0,0.0,28.950888,20.11654
10.5,79.25,0.0,29.553915,22.339361
10.5,79.5,0.0,29.553915,22.339361
10.5,79.75,1.4574476,29.553915,22.339361
10.75,75.75,0.0,30.237106,19.0633
10.75,76.0,0.0,30.237106,19.0633
10.75,76.25,0.0,29.239824,18.290049
10.75,76.5,0.0,29.239824,18.290049
10.75,76.75,0.0,29.239824,18.290049
10.75,77.0,0.0,29.239824,18.290049
10.75,77.25,0.0,27.692867,17.236557
10.75,77.5,0.0,27.692867,17.236557
10.75,77.75,0.0,27.692867,17.236557
10.75,78.0,0.0,27.692867,17.236557
10.75,78.25,0.0,28.950888,20.11654
10.75,78.5,0.0,28.950888,20.11654
10.75,78.75,0.0,28.950888,20.11654
10.75,79.0,0.0,28.950888,20.11654
10.75,79.25,0.0,29.553915,22.339361
10.75,79.5,0.0,29.553915,22.339361
10.75,79.75,0.0,29.553915,22.339361
11.0,75.75,0.0,30.237106,19.0633
11.0,76.0,0.0,30.237106,19.0633
11.0,76.25,0.0,29.239824,18.290049
11.0,76.5,0.0,29.239824,18.290049
11.0,76.75,0.0,29.239824,18.290049
11.0,77.0,0.0,29.239824,18.290049
11.0,77.25,0.0,27.692867,17.236557
11.0,77.5,0.0,27.692867,17.236557
11.0,77.75,0.0,27.692867,17.236557
11.0,78.0,0.0,27.692867,17.236557
11.0,78.25,0.0,28.950888,20.11654
11.0,78.5,0.0,28.950888,20.11654
11.0,78.75,0.0,28.950888,20.11654
11.0,79.0,5.2170086,28.950888,20.11654
11.0,79.25,0.0,29.553915,22.339361
11.0,79.5,0.0,29.553915,22.339361
